Word,Category,Notes
Aaron,Person,"Brother of Moses, Israel’s first high priest (Exodus 28:1)"
Abana,Place,River of Damascus mentioned in 2 Kings 5:12
Abdon,Person,Judge of Israel (Judges 12:13)
Abida,Person,Son of Midian (Genesis 25:4)
Abiel,Person,"Father of Kish and Ner, Saul’s relatives (1 Samuel 9:1)"
Abihu,Person,"Son of Aaron, killed for offering unauthorized fire (Leviticus 10:1–2)"
Abiud,Person,Ancestor of Jesus (Matthew 1:13)
Abner,Person,"Saul’s cousin, commander of his army (2 Samuel 2:8)"
Abram,Person,Original name of Abraham (Genesis 17:5)
Abyss,Concept,Bottomless pit; spiritual realm (Revelation 9:1)
Acbor,Person,Father of Elnathan (2 Kings 22:12)
Achan,Person,"Took forbidden spoil at Jericho, executed (Joshua 7)"
Achar,Person,Another name for Achan (1 Chronicles 2:7)
Achor,Place,Valley where Achan was executed (Joshua 7:26)
Acsah,Person,Daughter of Caleb (Joshua 15:16–17)
Aczib,Place,Town in Judah and Naphtali (Joshua 15:44; 19:29)
Adami,Place,Border town in Naphtali (Joshua 19:33)
Addar,Place,Town on border of Benjamin (Joshua 18:13)
Addon,Person,Listed among returnees from exile (Nehemiah 7:61)
Adiel,Person,"Multiple figures, incl. prince under David (1 Chronicles 4:36)"
Adina,Person,Warrior under David (1 Chronicles 11:42)
Adlai,Person,Father of Shaphat (1 Chronicles 27:29)
Admah,Place,One of the cities destroyed with Sodom (Genesis 10:19)
Adnah,Person,Warrior leader under Jehoshaphat (2 Chronicles 17:14)
Adoni,Person,Short form of Adonijah (1 Kings 1:5)
Aenon,Place,Site where John baptized (John 3:23)
Ahava,Place,"Canal/region by the river, site of Ezra’s gathering (Ezra 8:15)"
Ahban,Person,Son of Abishur (1 Chronicles 8:39)
Ahiah,Person,Priest who wore ephod during Saul’s time (1 Samuel 14:3)
Ahiam,Person,One of David’s mighty men (2 Samuel 23:33)
Ahian,Person,Son of Shemidah (1 Chronicles 7:19)
Ahira,Person,Chief of Naphtali (Numbers 1:15)
Ahlab,Place,Town in Asher’s territory (Judges 1:31)
Ahlai,Person,Daughter of Sheshan (1 Chronicles 2:31)
Ahoah,Person,Descendant of Benjamin (1 Chronicles 8:4)
Ahzai,Person,Descendant listed post-exile (Nehemiah 11:13)
Aiath,Place,"Mentioned in Isaiah 10:28, near Ai"
Akkad,Place,One of Nimrod’s cities (Genesis 10:10)
Akkub,Person,Multiple Levites (1 Chronicles 3:24; Nehemiah 11:19)
Albon,Person,One of David’s warriors (2 Samuel 23:31)
Allon,Person,Allon the son of Jedaiah (1 Chronicles 4:37)
Almon,Place,Levitical town in Benjamin (Joshua 21:18)
Aloth,Place,Unknown; possibly town in 1 Kings 4:16
Alpha,Concept,First letter of Greek alphabet; used symbolically for Christ (Revelation 1:8)
altar,Item,Structure for offering sacrifices (Exodus 27:1)
Alush,Place,Camp of Israelites during the Exodus (Numbers 33:13)
Alvah,Person,Edomite chief (Genesis 36:40)
Alvan,Person,Descendant of Seir (Genesis 36:23)
Amana,Place,Mountain mentioned in Song of Solomon 4:8
Amasa,Person,Absalom’s commander; later killed by Joab (2 Samuel 17:25)
Ammah,Place,Hill near Gibeon (2 Samuel 2:24)
Ammon,Place,Nation descending from Lot (Genesis 19:38)
Amnon,Person,David’s son; raped Tamar and was killed by Absalom (2 Samuel 13)
Amram,Person,Father of Moses and Aaron (Exodus 6:20)
Anani,Person,Ancestor of Jesus (Luke 3:24)
Anath,Person,Father of Shamgar (Judges 3:31)
angel,Concept,"Messenger of God, spiritual being (Genesis 16:7; Matthew 1:20)"
anger,Concept,Emotion; frequently mentioned as God’s response to sin (Deuteronomy 29:27)
Aniam,Person,Son of Shemidah (1 Chronicles 7:19)
Annas,Person,High priest during Jesus' trial (Luke 3:2; John 18:13)
Anoth,Place,Town in Benjamin (Joshua 21:18)
Aphek,Place,Site of multiple battles (1 Samuel 4:1; 29:1)
Arabs,People Group,Inhabitants of Arabia (2 Chronicles 17:11)
Arbel,Place,Mentioned in Hosea 10:14
Ardon,Person,Son of Caleb (1 Chronicles 2:18)
Areli,Person,Son of Gad (Genesis 46:16)
Argob,Place,Region in Bashan (Deuteronomy 3:4)
Arieh,Person,Killed with Pekahiah (2 Kings 15:25)
Ariel,Person,One of Ezra’s chiefs (Ezra 8:16); also symbolic name for Jerusalem (Isaiah 29:1)
arise,Concept,Verb; appears as command or narrative action (Matthew 2:13)
Arnan,Person,Listed in Chronicles genealogies (1 Chronicles 3:21)
Arnon,Place,River on Moab’s border (Numbers 21:13)
Arodi,Person,Son of Gad (Genesis 46:16)
Aroer,Place,City in Reuben and Gad’s territory (Deuteronomy 2:36)
Arpad,Place,Syrian city (Isaiah 10:9)
Arvad,Place,City of Phoenicia (Ezekiel 27:8)
Asaph,Person,Chief musician under David; wrote Psalms (1 Chronicles 6:39)
Ashan,Place,Levitical city (Joshua 21:16)
